date,symbol,open,high,low,close,volume,avg_spread,ticks
2026-01-28,QQQ,637.18,637.18,629.98,633.45,1281426,0.01980859604464339,20678
2026-01-28,SPY,698.01,698.07,693.32,696.51,1349682,0.021186701618608403,24092
2026-01-28,TSLA,432.22,450.01,425.57,435.48,688936,0.6620701883100998,16589
2026-01-29,GOOGL,342.6,342.6,326.58,337.86,1295369,0.2619817137997025,18858
2026-01-29,MSFT,449.82,451.8,421.05,433.18,4534896,0.5177427911980029,95998
2026-01-29,QQQ,634.0,634.22,618.33,628.67,1316287,0.027304626035875464,19127
2026-01-29,SPY,696.74,697.41,684.85,693.94,2391527,0.01661489673117585,36937
2026-01-29,TSLA,443.96,443.97,414.65,430.52,1343484,1.4728751218153977,35922
2026-01-30,GOOGL,334.97,339.95,332.33,337.53,931003,0.2673364361702125,15069
2026-01-30,MSFT,436.54,439.525,426.47,429.8,1832797,0.6724989256067496,44240
2026-01-30,QQQ,623.97,628.21,619.31,621.09,1540128,0.030131241324190837,23776
2026-01-30,SPY,691.46,694.18,687.13,691.48,2315168,0.0382074246441905,36982
2026-01-30,TSLA,427.66,439.88,421.77,429.3,1689606,0.40092050627845277,40008
2026-02-02,GOOGL,334.32,345.5,334.32,345.5,866364,0.6126604918556374,15764
2026-02-02,MSFT,426.94,430.71,422.26,422.85,1272780,1.5062501781895938,28125
2026-02-02,QQQ,617.12,628.49,616.73,626.75,1259079,0.029913166055822046,17752
2026-02-02,SPY,689.0,696.94,688.29,695.53,2634788,0.01436233639753926,42110
2026-02-02,TSLA,423.54,427.12,414.54,422.58,1227854,0.7106225129830718,29684
2026-02-03,GOOGL,347.85,349.0,337.49,341.38,820789,0.3731756621522447,15091
2026-02-03,MSFT,423.96,423.96,408.575,411.29,2092156,0.2473218512009381,42727
2026-02-03,QQQ,629.05,629.73,610.96,615.7,1860658,0.0227225184577519,29349
2026-02-03,SPY,697.44,697.44,684.035,689.34,2810811,0.01628136551424238,46029
2026-02-03,TSLA,426.6,428.53,413.69,420.54,999525,0.5450165088191853,23047
2026-02-04,GOOGL,343.22,348.65,309.48,327.27,2467168,0.5314166666666671,33205
2026-02-04,MSFT,413.42,418.67,409.01,409.49,1280160,0.8269632738719829,28688
2026-02-04,QQQ,615.04,615.4,600.47,607.35,2083016,0.03244906914060016,31970
2026-02-04,SPY,690.6,691.405,681.78,688.55,2736807,0.02377781174261428,45856
2026-02-04,TSLA,421.0,423.9,399.21,407.8,1143171,0.453841579876752,27753
2026-02-05,GOOGL,327.82,333.53,306.52,326.61,3176767,0.6582960920874442,41380
2026-02-05,MSFT,410.75,410.75,390.71,392.79,2165572,0.40676019124308077,47860
2026-02-05,QQQ,608.0,608.0,590.09,590.09,1457387,0.04466803498126024,22457
2026-02-05,SPY,682.1,683.64,673.65,673.65,1981225,0.03528842060451167,28233
